Checkpoint,allocate,allot,ask,assign,award,bequeath,cede,deliver,deny,dictate,explain,feed,forward,give,grant,guarantee,issue,lease,mail,offer,pass,pay,present,promise,read,refund,relay,rent,sell,show,teach,tell,trade,transfer,yield
500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1650,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09302325581395349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.15625,0.16129032258064516,0.3076923076923077,0.0,0.0,0.0
1750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2200,0.058823529411764705,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2400,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0
2500,0.058823529411764705,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0
2600,0.058823529411764705,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.07692307692307693,0.06666666666666667,0.0,0.0
2700,0.058823529411764705,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.03333333333333333,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.06666666666666667,0.0,0.0
2800,0.058823529411764705,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.15384615384615385,0.0,0.0,0.0
2900,0.058823529411764705,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3000,0.058823529411764705,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.03125,0.06451612903225806,0.23076923076923078,0.0,0.0,0.0
3100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.125,0.0967741935483871,0.15384615384615385,0.06666666666666667,0.0,0.0
3200,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.15384615384615385,0.06666666666666667,0.0,0.0
3300,0.058823529411764705,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.07894736842105263,0.07142857142857142,0.0,0.06666666666666667,0.029411764705882353,0.0,0.0,0.02857142857142857,0.0,0.0,0.08333333333333333,0.024390243902439025,0.0625,0.0967741935483871,0.15384615384615385,0.06666666666666667,0.0,0.0
3400,0.058823529411764705,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.15384615384615385,0.06666666666666667,0.0,0.0
3500,0.058823529411764705,0.0,0.2,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.07894736842105263,0.07142857142857142,0.0,0.1,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.125,0.024390243902439025,0.0,0.0,0.23076923076923078,0.06666666666666667,0.0,0.0
3600,0.058823529411764705,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.23684210526315788,0.14285714285714285,0.0,0.13333333333333333,0.029411764705882353,0.0,0.0,0.05714285714285714,0.0,0.0,0.125,0.024390243902439025,0.25,0.3225806451612903,0.23076923076923078,0.06666666666666667,0.05555555555555555,0.0
3700,0.058823529411764705,0.0,0.2,0.14285714285714285,0.029411764705882353,0.0,0.0,0.0,0.0,0.09090909090909091,0.046511627906976744,0.0,0.1,0.12121212121212122,0.0,0.0,0.0,0.3684210526315789,0.14285714285714285,0.0,0.16666666666666666,0.08823529411764706,0.0,0.0,0.2,0.0,0.0,0.20833333333333334,0.024390243902439025,0.28125,0.3870967741935484,0.38461538461538464,0.13333333333333333,0.0,0.1
3800,0.058823529411764705,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.07894736842105263,0.0,0.0,0.06666666666666667,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.16129032258064516,0.23076923076923078,0.06666666666666667,0.0,0.0
3900,0.058823529411764705,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.07894736842105263,0.07142857142857142,0.0,0.03333333333333333,0.029411764705882353,0.0,0.0,0.05714285714285714,0.0,0.0,0.125,0.024390243902439025,0.0,0.03225806451612903,0.23076923076923078,0.06666666666666667,0.0,0.0
4000,0.058823529411764705,0.0,0.2,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.06976744186046512,0.0,0.1,0.09090909090909091,0.0,0.0,0.0,0.3684210526315789,0.2857142857142857,0.0,0.1,0.058823529411764705,0.0,0.0,0.0,0.0,0.03333333333333333,0.3333333333333333,0.04878048780487805,0.03125,0.3225806451612903,0.23076923076923078,0.2,0.05555555555555555,0.0
4100,0.058823529411764705,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.07894736842105263,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0967741935483871,0.23076923076923078,0.06666666666666667,0.0,0.0
4200,0.058823529411764705,0.0,0.2,0.21428571428571427,0.0,0.0,0.03333333333333333,0.03125,0.034482758620689655,0.09090909090909091,0.06976744186046512,0.26666666666666666,0.1,0.30303030303030304,0.046511627906976744,0.0,0.0,0.4473684210526316,0.2857142857142857,0.0,0.23333333333333334,0.08823529411764706,0.02857142857142857,0.0,0.2,0.0,0.2,0.2916666666666667,0.0975609756097561,0.40625,0.3548387096774194,0.23076923076923078,0.13333333333333333,0.05555555555555555,0.0
4300,0.058823529411764705,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.046511627906976744,0.0,0.0,0.15151515151515152,0.0,0.0,0.0,0.42105263157894735,0.14285714285714285,0.0,0.13333333333333333,0.058823529411764705,0.02857142857142857,0.0,0.08571428571428572,0.0,0.03333333333333333,0.25,0.04878048780487805,0.375,0.3225806451612903,0.23076923076923078,0.13333333333333333,0.05555555555555555,0.0
4400,0.058823529411764705,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.15789473684210525,0.07142857142857142,0.0,0.16666666666666666,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0967741935483871,0.23076923076923078,0.06666666666666667,0.0,0.0
4500,0.058823529411764705,0.0,0.0,0.14285714285714285,0.029411764705882353,0.0,0.06666666666666667,0.0,0.034482758620689655,0.09090909090909091,0.023255813953488372,0.0,0.0,0.09090909090909091,0.046511627906976744,0.0,0.0,0.6052631578947368,0.07142857142857142,0.0,0.06666666666666667,0.058823529411764705,0.02857142857142857,0.0,0.14285714285714285,0.0,0.03333333333333333,0.2916666666666667,0.07317073170731707,0.0625,0.16129032258064516,0.23076923076923078,0.26666666666666666,0.05555555555555555,0.0
4600,0.058823529411764705,0.0,0.2,0.21428571428571427,0.0,0.0,0.0,0.0,0.034482758620689655,0.09090909090909091,0.023255813953488372,0.0,0.1,0.09090909090909091,0.0,0.0,0.0,0.39473684210526316,0.14285714285714285,0.0,0.03333333333333333,0.029411764705882353,0.02857142857142857,0.0,0.05714285714285714,0.0,0.03333333333333333,0.041666666666666664,0.0,0.25,0.25806451612903225,0.23076923076923078,0.06666666666666667,0.05555555555555555,0.0
4700,0.17647058823529413,0.1,0.2,0.35714285714285715,0.11764705882352941,0.0,0.1,0.09375,0.034482758620689655,0.2727272727272727,0.06976744186046512,0.2,0.1,0.36363636363636365,0.06976744186046512,0.0,0.0,0.631578947368421,0.42857142857142855,0.025,0.26666666666666666,0.11764705882352941,0.11428571428571428,0.0,0.2,0.0,0.1,0.375,0.21951219512195122,0.40625,0.45161290322580644,0.23076923076923078,0.26666666666666666,0.3333333333333333,0.1
4800,0.058823529411764705,0.0,0.0,0.2857142857142857,0.029411764705882353,0.0,0.03333333333333333,0.0,0.0,0.09090909090909091,0.023255813953488372,0.0,0.0,0.09090909090909091,0.023255813953488372,0.0,0.0,0.34210526315789475,0.0,0.0,0.1,0.058823529411764705,0.02857142857142857,0.0,0.14285714285714285,0.0,0.0,0.16666666666666666,0.04878048780487805,0.125,0.3870967741935484,0.23076923076923078,0.06666666666666667,0.0,0.0
4900,0.058823529411764705,0.0,0.2,0.2857142857142857,0.029411764705882353,0.0,0.0,0.03125,0.034482758620689655,0.09090909090909091,0.046511627906976744,0.0,0.1,0.15151515151515152,0.023255813953488372,0.0,0.0,0.5,0.14285714285714285,0.025,0.2,0.058823529411764705,0.08571428571428572,0.0,0.17142857142857143,0.0,0.0,0.2916666666666667,0.14634146341463414,0.375,0.3870967741935484,0.23076923076923078,0.13333333333333333,0.05555555555555555,0.0
5000,0.11764705882352941,0.0,0.6,0.35714285714285715,0.029411764705882353,0.0,0.06666666666666667,0.0625,0.0,0.2727272727272727,0.09302325581395349,0.06666666666666667,0.1,0.24242424242424243,0.023255813953488372,0.0,0.0,0.39473684210526316,0.2857142857142857,0.025,0.3333333333333333,0.08823529411764706,0.14285714285714285,0.05263157894736842,0.2,0.0,0.06666666666666667,0.125,0.0975609756097561,0.4375,0.45161290322580644,0.38461538461538464,0.2,0.1111111111111111,0.0
5100,0.17647058823529413,0.1,0.2,0.2857142857142857,0.35294117647058826,0.0,0.4,0.0625,0.10344827586206896,0.18181818181818182,0.11627906976744186,0.26666666666666666,0.1,0.5151515151515151,0.16279069767441862,0.0,0.0,0.6842105263157895,0.5,0.1,0.36666666666666664,0.20588235294117646,0.2571428571428571,0.10526315789473684,0.2571428571428571,0.0,0.26666666666666666,0.5833333333333334,0.4878048780487805,0.5625,0.45161290322580644,0.23076923076923078,0.26666666666666666,0.3333333333333333,0.1
5200,0.17647058823529413,0.0,0.4,0.2857142857142857,0.058823529411764705,0.0,0.13333333333333333,0.03125,0.06896551724137931,0.18181818181818182,0.13953488372093023,0.06666666666666667,0.1,0.2727272727272727,0.046511627906976744,0.0,0.0,0.42105263157894735,0.2857142857142857,0.05,0.2,0.23529411764705882,0.11428571428571428,0.05263157894736842,0.2,0.0,0.1,0.3333333333333333,0.2682926829268293,0.40625,0.41935483870967744,0.23076923076923078,0.26666666666666666,0.16666666666666666,0.1
5300,0.17647058823529413,0.0,0.4,0.21428571428571427,0.058823529411764705,0.0,0.06666666666666667,0.03125,0.06896551724137931,0.36363636363636365,0.11627906976744186,0.06666666666666667,0.1,0.24242424242424243,0.06976744186046512,0.0,0.0,0.42105263157894735,0.35714285714285715,0.025,0.3333333333333333,0.11764705882352941,0.14285714285714285,0.05263157894736842,0.22857142857142856,0.0,0.2,0.16666666666666666,0.17073170731707318,0.53125,0.5483870967741935,0.38461538461538464,0.13333333333333333,0.2222222222222222,0.1
5400,0.17647058823529413,0.0,0.0,0.5714285714285714,0.058823529411764705,0.0,0.06666666666666667,0.15625,0.10344827586206896,0.2727272727272727,0.09302325581395349,0.06666666666666667,0.1,0.24242424242424243,0.06976744186046512,0.0,0.0,0.6578947368421053,0.42857142857142855,0.075,0.23333333333333334,0.17647058823529413,0.22857142857142856,0.10526315789473684,0.2,0.0,0.1,0.5416666666666666,0.34146341463414637,0.5,0.4838709677419355,0.6153846153846154,0.26666666666666666,0.3888888888888889,0.1
